,coeff,gen_firsts_fitnesses,gen_firsts_predictions,hof_fitnesses,hof_predictions,hof_shape_means,hof_shape_vars,number_of_uniques_means,number_of_uniques_vars
0,0,4.18436478516,5.21194152932,3.68478828119,5.42520335855,2480.0,46250.0,1574.6,6608.84
1,0,4.3386050825,5.36749012257,3.98998104062,5.47048712613,2442.5,38281.25,1555.6,4816.24
2,0,5.90508189053,4.79875641922,5.39538429392,4.68049544502,2455.0,16250.0,1563.0,2413.6
3,0,4.78963619927,4.67504736252,4.35061473311,4.76798420672,2480.0,11875.0,1570.9,2159.49
4,0,5.17767626608,4.67137242691,4.70826362469,4.5117293146,2480.0,21250.0,1575.2,4243.96
5,0,4.43662205245,4.77552635656,3.94668813238,4.52448910942,2430.0,6875.0,1555.9,1591.29
6,0,5.00497418531,4.85037564247,4.40821589433,5.08964570177,2480.0,30625.0,1575.3,3895.01
7,0,4.51227933582,4.66059471351,4.02779554012,4.59222472017,2492.5,13906.25,1587.5,2033.65
8,0,5.17412241638,4.80634800336,4.47862394192,4.82742037722,2442.5,10156.25,1562.1,1177.89
9,0,5.29766084786,4.85776191577,4.94525351422,4.75945093213,2392.5,23281.25,1546.1,3864.09
10,0,4.58996393827,4.91442116193,4.20681870179,4.7678576307,2555.0,16250.0,1597.4,2495.84
11,0,4.55862592931,4.9694794148,4.07663520852,5.0857701663,2442.5,3906.25,1549.0,1002.2
12,0,5.27271854771,4.93548531701,4.73160167669,4.81172034373,2455.0,3750.0,1563.4,558.84
13,0,5.93209712359,4.95288187754,5.30487001672,4.88797753838,2555.0,31875.0,1602.9,4727.09
14,0,5.16436151274,4.65633439027,4.51011029701,4.55494938892,2555.0,25625.0,1603.1,3607.49
15,0,5.04720000083,5.04144298349,4.59233339996,4.96504067946,2517.5,20156.25,1584.0,3095.0
16,0,5.19461849969,4.83242107239,4.76630171196,4.71811348884,2530.0,11875.0,1585.0,2144.0
17,0,5.14176876831,5.05740830232,4.68084761067,5.03946243861,2505.0,12500.0,1586.0,2378.2
18,0,4.69053069969,4.87774199896,4.1733312439,5.00603627542,2380.0,15625.0,1536.1,2744.49
19,0,5.22300433203,4.98189894515,4.70116631083,4.94482618046,2530.0,36875.0,1586.0,5585.4
20,0,5.22365400573,4.57632233407,4.73927775229,4.4699635805,2517.5,10781.25,1585.2,2275.16
21,0,5.3138024851,4.84326401811,4.93780589938,4.85093123094,2467.5,22031.25,1564.6,3939.04
22,0,4.89001462495,4.69188154884,4.43810326856,4.65083802457,2492.5,10781.25,1579.5,1740.65
23,0,4.74204991688,5.33165071214,4.25178666405,5.201390989,2480.0,8750.0,1573.0,1153.6
24,0,5.22982867433,4.51568799038,4.84177607395,4.48360165334,2517.5,7656.25,1588.5,2120.45
25,0,4.03239569547,4.8058283231,3.73271507222,4.69730147726,2455.0,10000.0,1565.5,1483.65
26,0,5.58555907026,4.58663365907,4.99552313037,4.58808005989,2517.5,26406.25,1585.4,3336.44
27,0,4.78445920648,5.02749024138,4.24133405757,4.92873233797,2530.0,24375.0,1593.4,2618.84
28,0,4.41231403289,4.83899735642,4.08372132377,4.71950280583,2417.5,72031.25,1550.1,13018.69
29,0,5.20742405513,4.68436872226,4.84053836202,4.58749147295,2392.5,20156.25,1528.6,3076.24
30,0,5.42198820075,4.99880620637,4.94136826486,4.95107276535,2467.5,3281.25,1570.8,380.96
31,0,5.0492526251,4.63851050358,4.66460068028,4.60091723968,2467.5,12656.25,1563.4,2551.44
32,0,5.48835115082,4.59103487875,5.00950130232,4.59715738199,2480.0,18125.0,1571.6,2865.84
33,0,4.64328911654,4.7290782303,4.29759996348,4.80744871434,2480.0,11875.0,1574.6,1987.04
34,0,4.72398107637,5.09948182446,4.25751808527,5.01812584195,2530.0,11875.0,1599.3,2559.01
35,0,5.39523100619,5.26270046552,4.95398722943,5.06764647691,2480.0,8750.0,1579.3,1251.21
36,0,5.57257992273,4.79515813902,4.93142224632,4.68795705839,2430.0,19375.0,1547.2,3235.36
37,0,4.84078893537,5.16056951745,4.22430847017,5.09868164965,2492.5,20156.25,1580.9,2746.89
38,0,5.36112231417,4.689799778,4.79265255613,4.52209558651,2430.0,10000.0,1563.5,1681.25
39,0,5.2098092889,4.52719914545,4.83890628914,4.38433709748,2517.5,4531.25,1587.5,395.85
40,0,4.00200870562,5.01538418782,3.53599142502,4.72350257083,2492.5,17031.25,1575.0,3454.4
41,0,4.93447641976,5.04743456,4.53552791187,5.07963621598,2455.0,35000.0,1562.0,5738.4
42,0,4.64061367359,4.94326695902,4.3219198044,4.90826557967,2492.5,13906.25,1577.5,2286.25
43,0,5.12288679378,4.71334591785,4.57608775582,4.65150954276,2517.5,7656.25,1592.6,2113.84
44,0,5.72425200268,5.20804860082,5.01727969422,5.03048602462,2417.5,15781.25,1551.2,3019.76
45,0,5.42633444192,4.95767052335,5.06037935018,5.05260551438,2517.5,17031.25,1582.5,2023.85
46,0,5.01123583389,4.63158651664,4.36208574705,4.48900794958,2417.5,9531.25,1543.3,1798.01
47,0,5.1602328858,5.03441932326,4.51955652386,5.06585004909,2592.5,3281.25,1607.3,230.41
48,0,4.87438567289,4.22975368305,4.50281297852,4.18888147996,2580.0,13125.0,1605.7,2086.41
49,0,5.02657311247,4.98315089126,4.54542517206,4.90895216991,2530.0,33750.0,1592.4,4818.64
