,0
0,284877.81975230656
1,318785.58035224595
2,385101.1947038475
3,252951.5847701332
4,299263.6910570225
5,357363.9065981967
6,316299.7557735134
7,272544.2220215886
8,335835.33075952635
9,260186.06396017774
10,215797.86726451394
11,280326.90624196
12,281356.41917138593
13,286008.91232716356
14,373695.9260729721
15,313096.1699382251
16,270224.60230116674
17,333981.41417324997
18,353916.50241968856
19,327037.9705397848
20,251059.744262338
21,206527.23728863412
22,235200.93736439984
23,292205.2756209617
24,228914.81264144563
25,273947.73328611476
26,324469.2678323571
27,349772.4352544859
28,288214.80274911056
29,257806.02851871742
30,270687.8675308031
31,346015.2119225802
32,306299.1477964955
33,292510.3575932731
34,367877.3129421521
35,228018.42056883345
36,319294.0653227357
37,438589.2065204911
38,309134.9559817893
39,311754.6269675388
40,336256.4874877669
41,286644.56872310804
42,262082.28343966184
43,234311.86862610685
44,300689.2580822016
45,403217.76410950336
46,308958.10969001695
47,288012.7648123484
48,389949.49496828637
49,381366.8616822365
50,290305.1389433172
51,372917.45605745574
52,306410.4422650462
53,296160.5544742433
54,316256.26681811584
55,198003.04438462976
56,269925.64627358445
57,379423.3397777942
58,348569.49760093505
59,379630.6067069637
60,301567.2466767811
61,245364.03967270307
62,274498.7438887983
63,234883.196116008
64,319495.7253421535
65,285633.4080059335
66,305037.69366008026
67,493660.2151557362
68,274614.87542017165
69,319028.2295160542
70,456159.0542516889
71,256853.97020246345
72,266582.0612711636
73,357861.0640191862
74,445942.6302092134
75,270774.1832433696
76,378159.3103255337
77,306973.59759138303
78,314955.39436690183
79,448344.4970960431
80,296963.79897569696
81,343575.53121161915
82,263135.74621809897
83,238922.2990196892
84,333208.9011045074
85,364305.47421312856
86,345768.79559947446
87,270345.07300743985
88,281577.7052251161
89,507364.32302998827
90,285138.8718060309
91,314403.7738322936
92,238082.06804687646
93,349308.1063397735
94,416732.5525585598
95,238517.43565550057
96,321870.9521431254
97,308717.580210816
98,349342.8804108357
99,256649.33582390944
100,337930.67553625366
101,289189.16735519766
102,321084.36409282323
103,172948.13045730907
104,285218.9316966754
105,316577.6061303007
106,315819.73944304284
107,302252.1414407075
108,230445.83844869668
109,346921.7035804349
110,241783.11217298993
111,291185.1224413141
112,296470.6411788684
113,243693.36350425435
114,314180.0121733194
115,205391.02630606986
116,366186.9180986193
117,346689.8529359154
118,292236.5442230053
119,386872.2862861621
120,227165.25677016168
121,473637.1965239848
122,272420.0130560718
123,355154.64857202943
124,324698.6966001147
125,241355.30381997465
126,272473.7683796013
127,360509.7275247694
128,296579.93660929136
129,362412.3544495822
130,386919.8881190366
131,211895.5849345747
132,313347.90639541764
133,256153.9101433816
134,354473.0418677914
135,312090.49486520496
136,343037.48782995454
137,316161.8600818023
138,236709.07913552597
139,353744.923522689
140,315527.14326800744
141,375600.33950708143
142,259516.518313974
143,247368.99347956936
144,294720.9919123516
145,415481.508180152
146,385081.0855156471
147,253230.64479807625
148,327078.2253429799
149,231466.03279195563
150,353729.08137232286
151,356649.28283715335
152,271615.39917893533
153,389404.78555415105
154,238731.95671445908
155,285470.1156464374
156,344751.1881215832
157,347887.9735284411
158,319529.87018937815
159,350336.30129128246
160,196631.43715438474
161,372355.0738153565
162,339769.9650126314
163,244502.46151293168
164,262610.98528495413
165,329218.9466345998
166,328875.71576686145
167,338394.2871477261
168,290760.4872823078
169,347959.62024338625
170,372676.2102348729
171,296990.9016721464
172,236380.34751334105
173,348260.1885408051
174,318729.21801267995
175,287264.42969534174
176,324308.1365579864
177,262625.8757518109
178,256781.08316970803
179,334536.48032362724
180,211811.60605476372
181,281855.97111932404
182,238414.08952760277
183,343539.8184303901
184,367973.8377552022
185,303431.9683271613
186,332726.39127193193
187,254317.18739172444
188,300222.3030852439
189,428771.4086772779
190,301519.7184544868
191,249426.54174011163
192,217603.2954709689
193,273598.5400664232
194,316077.54649670835
195,322659.68099637126
196,339889.2309377799
197,325106.927022656
198,227946.87841142234
199,310265.27220483625
200,243404.15604803414
201,291321.0755963955
202,244269.9446675238
203,315500.549742292
204,345374.253864402
205,372767.78039480106
206,310111.914704294
