,0
0,281118.84166947904
1,306431.31313493254
2,369784.4222881615
3,214031.5534000084
4,329550.9948515162
5,367875.398102659
6,276714.1864817113
7,243809.99189020545
8,352313.8493375078
9,226771.55699437408
10,206906.22989972978
11,286656.9303935215
12,269619.45810335723
13,278276.45958235115
14,390533.4550545767
15,329448.678311795
16,272055.8266199857
17,335185.6090515256
18,351549.9843089402
19,334170.2709376216
20,229867.31524903327
21,186293.61202464253
22,217649.14030696452
23,321538.99113408476
24,188234.68806538582
25,254889.8054278344
26,355185.24804644135
27,338991.86421943904
28,310879.74640664755
29,248907.64206546248
30,274171.9591707572
31,343689.7722855493
32,316990.65592768195
33,302813.0366543651
34,364351.56436971726
35,240609.10080652684
36,283706.84560779034
37,459328.5628936455
38,313464.2983266607
39,281707.22615327535
40,333334.5778149858
41,277829.49411671906
42,229557.89218661338
43,227546.15773274898
44,285328.3302612603
45,438208.55126442463
46,366701.24585994484
47,274847.09237103316
48,403436.34362232685
49,433597.0091399908
50,268188.59949526936
51,387554.418867898
52,318412.7676367328
53,322215.03220036475
54,297244.1124420777
55,166567.17300225943
56,254269.4064914003
57,402755.84279135766
58,319362.78170748503
59,380945.01659029274
60,284817.99993383884
61,224713.07983367593
62,243012.04413755386
63,215591.01241230368
64,336122.21303646715
65,306947.6560981393
66,268226.41614785197
67,516622.89615354984
68,279678.2622820884
69,340345.5898444682
70,463771.7248384446
71,245073.87344718873
72,223720.26013394297
73,366850.05363350065
74,443896.6728123844
75,281137.39685952215
76,360639.3764958397
77,313141.38770292996
78,312793.9371314108
79,429241.5607010141
80,279039.13048603537
81,376300.7947357878
82,313062.8357988551
83,226129.52208003402
84,367011.8233950779
85,360798.4941330567
86,352031.6889148921
87,282465.3456041485
88,298151.7743844822
89,569734.3190397366
90,262067.29810227006
91,334006.61055159866
92,208549.53328262566
93,349075.62723955663
94,410934.0726623818
95,211849.31344940662
96,324238.9591963291
97,307476.6586958036
98,361191.61593131424
99,239953.82142661064
100,322978.77005665004
101,278157.9234773308
102,315264.7544221759
103,173793.91764646024
104,280069.8325077921
105,339580.22952234
106,343007.27568307816
107,267304.5007569447
108,259427.80223228186
109,339612.54500550777
110,224419.10547494143
111,277975.5898331821
112,273793.5810727283
113,271012.8009214982
114,330739.1892610714
115,202681.4533380419
116,385420.0313933298
117,371403.8619269788
118,308379.0870182961
119,391941.93133108766
120,223141.6245365128
121,459251.87588478625
122,255185.54503158032
123,337463.74283833953
124,349211.89332478493
125,234557.16218850017
126,266001.76321124134
127,380467.2494216353
128,321235.28450208006
129,359654.43178966193
130,370809.0316778049
131,176878.57713201642
132,290848.4938484222
133,235138.54575201272
134,365751.75325683504
135,283278.4726246521
136,313395.65044334234
137,333723.3908200607
138,220831.31758810877
139,379889.41517749726
140,325612.586621581
141,387495.1516813904
142,220644.72764855027
143,237428.77821656765
144,318887.87732328626
145,405703.2253887683
146,384041.3096713543
147,251780.08267267048
148,342442.59302900435
149,225445.4783703044
150,374451.3196975246
151,354105.50959401875
152,262790.27884250134
153,420318.06046668737
154,201724.14301576017
155,289458.2772985846
156,353652.0723823428
157,361959.0483100697
158,315960.8973077953
159,361492.9470534578
160,156451.38208935707
161,407347.5205869734
162,359845.2670379311
163,255243.32811316848
164,248388.51529770196
165,321331.89956052304
166,344658.27423869073
167,341262.6217471987
168,269895.15456074773
169,385575.3255409732
170,355202.3036407426
171,313757.97219522594
172,226695.3164093852
173,350305.2161674723
174,303164.4219464004
175,342118.8417962879
176,356107.2125966087
177,276248.18937418313
178,234783.17066411526
179,347375.0618339464
180,192877.45271071047
181,264774.446566087
182,226096.8057462737
183,402719.9564595297
184,352734.0765582368
185,316664.744519259
186,358461.4616239786
187,261954.10683697462
188,270865.73988820164
189,417086.71497903764
190,339359.5512070015
191,195123.44758955538
192,181715.29056032747
193,309838.25473663805
194,316969.73059404193
195,329871.10604877176
196,337763.54695117625
197,351539.8946734577
198,219291.35043829083
199,346370.7187448591
200,255258.49898185284
201,274184.9333119899
202,260859.3325235039
203,302425.6120150372
204,335079.449313654
205,346579.5209780693
206,291233.480479987
207,351242.5673166633
208,357374.1773648426
209,190865.63636640907
210,286987.37459453644
211,313709.90009832534
212,324299.76144582184
213,319451.2890531585
214,348853.34517668636
215,436409.9304472953
216,336352.56935971975
217,501158.9839484364
218,317814.3793277383
219,464671.11157250556
220,297545.81654616597
221,350338.1530829698
222,387298.25607354194
223,216509.25477033705
224,260940.56094104648
225,405512.200394243
226,180869.46002687066
227,277427.5779226154
228,326334.70212545246
229,289735.1798025042
230,231328.8288419336
231,481496.6611015752
232,443536.5146423876
233,202588.3940047711
234,381765.5590365335
235,252364.44254299998
236,385067.3248070255
237,401535.8095390722
238,279220.7828942478
239,428777.02779136447
240,337755.37433178874
241,337386.9790075928
242,260042.21210787445
243,189715.42867907137
244,216436.56085427702
245,285383.1521657407
246,291546.6346115753
247,373404.16785610915
248,242816.91279539018
249,316113.83238997014
250,358426.20295384526
251,267547.64092119783
252,324813.68015435635
253,377526.9523825377
254,320441.8239086762
255,329356.78399545106
256,298577.89867787214
257,348936.07964855584
258,287692.2194064647
259,326607.4464479446
260,272171.5985108063
261,354023.0412438571
262,323745.3363584757
263,363674.1156884253
264,190744.70810136796
265,396048.99347094446
266,342524.2005694002
267,256789.28353219182
268,288619.14741370676
269,227134.65839397907
270,363129.0361785963
271,367521.85891274957
272,293546.7362596646
273,235586.15409693122
274,260467.8036423996
275,384011.6222809002
276,419537.1890102684
277,453015.3099051878
278,199067.70610280932
279,315633.66583826544
280,329387.9258511871
281,352170.3665672794
282,436730.95232901425
283,318596.71245192736
284,328421.84267615376
285,389342.8214226514
286,261094.92559962868
287,453125.2022836566
288,307165.0799475536
289,278169.9756110668
290,248916.39402386546
291,293375.9450415194
292,244858.29865000845
293,243574.35911259652
294,334379.0683981657
295,308220.86979895533
296,206176.314389658
297,405481.0753222674
298,293096.20963368414
299,317086.9214548841
300,323470.2092041671
301,364919.8003580123
302,281438.8229169771
303,340699.8931042686
304,207963.44302071483
305,379686.60151669383
306,316736.0191465691
307,369672.90523334296
308,285536.44591234624
309,481253.323543185
310,261937.96359238625
311,300699.8785859615
312,257539.11559782774
313,322969.0259641021
314,443421.7527346417
315,269623.2511433497
316,292646.69623010454
317,188193.85289942325
318,410659.95563534054
319,317600.0847846359
320,251648.28645209371
321,188273.67496281714
322,240691.91385673583
323,272354.5383428574
324,301357.6256062895
325,401141.8374015883
326,223377.38503420056
327,287106.7920482382
328,392246.05311695935
329,295931.01318851265
330,316200.3377226457
331,208877.67282010912
332,225158.49289885015
333,248698.60576199292
334,305281.39266542793
335,195523.95634002387
336,367862.8426634699
337,269256.88845871686
338,262659.2073058829
339,381326.2096048668
340,139621.7361417219
341,249002.17901112736
342,333629.6670847863
343,599691.0515467435
344,384067.527856268
345,418999.9309523329
346,289340.22688249795
347,286429.41699426173
348,402755.4173049748
349,530823.2206581607
350,185192.05480233132
351,291189.5321867958
352,266420.2981894091
353,440709.1584118217
354,250172.70059680045
355,248371.20689358114
356,138972.2490266174
357,288020.66354504076
358,449412.3126428932
359,235225.49216772764
360,294633.66844868066
361,302343.38120513706
362,361249.8288445979
363,272797.8702731907
364,269653.9114427
365,304859.738894023
366,421321.8162952125
367,303709.40856707544
368,268912.84219916014
369,230662.4938856125
370,347594.7693569839
371,340992.243958661
372,269592.77408451884
373,372025.1386199966
374,245882.56603647917
375,365237.88190181553
376,310157.08525979967
377,328521.7059615284
378,255545.33729801624
379,315015.72383990436
380,296615.4683580205
381,268388.69051483274
382,243536.49772139042
383,332293.2430183947
384,402712.40498103946
385,220847.10182163716
386,279233.4406982005
387,259426.61634533256
388,148403.7918870494
389,396135.881452775
390,286640.83343620005
391,246919.94240626096
392,299724.9348948136
393,393216.5831745282
394,275409.24316685944
395,272937.65931013227
396,317382.41086349636
397,308740.2988858968
398,278170.3330866873
399,293760.14021408855
400,234944.02678750904
401,245450.37570316344
402,323155.05063415616
403,325309.65886084584
404,252595.0128956586
405,194323.8619601816
406,264299.248295258
407,263411.5114958674
408,360200.42429899273
409,303790.2644304425
410,303800.7646872133
411,240929.4147462979
412,226269.41825328022
413,469195.00026025623
414,430287.2654435262
415,357895.6178396776
416,414842.2592561096
417,278817.771920304
418,304122.3654932305
419,292195.46244172007
420,168297.79587523788
421,415255.3914462075
422,402661.71378884016
423,227584.94872288257
424,298039.8944026843
425,383777.7395299241
426,295975.0171314031
427,278640.28809078934
428,418258.87653770595
429,292594.39113113435
430,201818.99007101954
431,390086.0496789381
432,434070.47151887714
433,185925.76375774742
434,330784.16714708356
435,254487.0492724344
436,262855.1292950168
437,253048.96922293902
438,281678.7358985871
439,302801.4349904567
440,278857.73147408664
441,203987.0684012592
442,367504.687066558
443,316715.09802130907
444,109417.32875192762
445,312203.8843566224
446,260844.27314330637
447,280471.7066469133
448,368419.9618942648
449,402978.7029869467
450,294109.4429091558
451,295379.39518631995
452,311694.3103458658
453,389661.4327766687
454,321647.4729475245
455,267065.3970590234
456,300065.8212366402
457,283927.24753416626
458,357139.3133088872
459,293954.93118934036
460,283267.4269626811
461,354192.05427586136
462,366062.3956620932
463,301837.7712631494
464,274402.41120675055
465,263784.9415538922
466,287618.36532472225
467,447107.5527126804
468,407044.8319454372
469,359957.39939668775
470,311307.2549621031
471,345596.4708324239
472,344537.8166681528
473,234355.8741475135
474,218810.2587483585
475,322008.9427241087
476,329219.1857602969
477,241298.1990511775
478,244846.86296894698
479,290067.03579490783
480,259208.5010318756
481,322420.01325214654
482,305613.52171445935
483,225008.00038863422
484,295693.72385433316
485,328384.04892268626
486,313198.91373851895
487,385438.12931354047
488,332150.20875334146
489,330728.9555218622
490,360498.18006794306
491,314612.81744861306
492,372356.20989943447
493,358740.99342695175
494,404710.2597105831
495,372414.8714508787
496,304467.127836445
497,307659.90706344246
498,231122.49427068085
499,454942.2980658963
500,245090.33004458545
501,304283.41741614044
502,442785.6334379688
503,376382.2067709282
504,355460.856422773
505,280978.8646434322
506,262755.2537712961
507,351920.16096964775
508,337381.97855481505
509,336644.05611998437
510,185929.88823529333
511,216889.0431730762
512,350366.65371715126
513,234790.31421964167
514,296261.63090395776
515,186912.42629344313
516,385669.30067598075
517,320706.9563005358
518,280795.21983509214
519,346120.4497078896
520,240849.8082764089
521,272251.0348079965
522,368231.1819880307
