,Gender,10percentage,12graduation,12percentage,CollegeTier,collegeGPA,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,Salary
0,0,84.3,2007,95.8,2,78,0,2011,515,585,525,0.635978756,0.9737,0.8128,0.5269,1.3549,-0.4455,1,0,0,0,420000
1,1,85.4,2007,85,2,70.06,0,2012,695,610,780,0.960603252,-0.7335,0.3789,1.2396,-0.1076,0.8637,1,0,0,0,500000
2,0,85,2010,68.2,2,70,0,2014,615,545,370,0.450876584,0.2718,1.7109,0.1637,-0.8682,0.6721,1,0,0,0,325000
3,1,85.6,2007,83.6,1,74.64,1,2011,635,585,625,0.974396113,0.0464,0.3448,-0.344,-0.4078,-0.9194,1,0,0,0,1100000
4,1,78,2008,76.8,2,73.9,0,2012,545,625,465,0.124502074,-0.881,-0.2793,-1.0697,0.09163,-0.1295,1,0,0,0,200000
6,1,86.08,2010,67.5,2,72.98,1,2014,590,435,380,0.356536488,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,1,0,0,0,300000
7,1,92,2010,91,1,8.58,0,2016,545,555,590,0.8295846,-0.0154,1.2114,0.01,0.1459,1.247,1,0,0,0,400000
8,1,90,2009,91.2,1,85.03,1,2013,615,670,530,0.694479328,-0.159,0.5454,-0.6048,-0.7415,-0.2859,1,0,0,0,600000
9,1,77,2010,72.2,2,78,1,2014,605,565,545,0.493596387,-1.308,0.5454,-0.9122,0.9066,0.0973,1,0,0,0,230000
10,1,88.6,2006,83.7,2,74.9,0,2010,565,455,565,0.765673581,0.0464,0.8128,0.0914,0.1798,0.0284,1,0,0,0,600000
11,1,81,2007,86,1,72.29,0,2011,495,605,715,0.968237496,-2.272,1.1248,0.8171,-0.4078,-0.4455,1,0,0,0,450000
12,1,83.6,2008,69.83,2,60,0,2013,380,580,470,0.229481755,0.1282,0.5454,-0.7585,-0.995,0.8637,1,0,0,0,270000
13,1,60.8,2008,62.4,2,60,0,2012,495,425,645,0.538386893,0.3555,0.0328,-0.598,-0.2902,-1.2354,1,0,0,0,200000
15,0,69.54,2008,64.43,2,63,0,2012,485,520,355,0.308400583,1.7465,1.9048,0.672,-0.2902,1.2528,1,0,0,0,350000
17,1,60.8,2006,66.66,2,74.74,1,2013,465,585,515,0.911395278,0.8463,1.0449,-1.0659,-1.6289,0.6721,0,0,0,1,250000
18,1,65,2008,64.8,2,69.54,0,2013,465,495,515,0.563267824,-0.159,0.3789,1.3933,-0.2344,1.4386,1,0,0,0,120000
19,0,79,2008,62.2,2,76.3,0,2012,485,445,435,0.864685413,0.8192,0.2668,-0.2714,-0.4078,-0.1295,1,0,0,0,325000
20,0,91.2,2006,84.63,2,78.15,0,2010,455,535,445,0.635978756,-0.1082,0.9688,0.5269,-0.2902,0.3444,1,0,0,0,320000
21,0,75.67,2007,74.4,2,74.01,0,2012,385,555,445,0.635978756,-1.0355,-0.5913,-1.3599,0.06223,-1.3539,1,0,0,0,200000
23,1,70,2006,43.42,2,55.52,1,2014,370,360,270,0.649389715,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,1,0,0,0,180000
24,1,88,2010,90,2,76,1,2014,625,555,630,0.356536488,0.4155,0.8027,0.1357,-0.995,-0.6692,1,0,0,0,335000
25,0,86.8,2008,82.8,2,78,0,2012,575,585,575,0.744758354,0.0464,1.2028,-0.9245,0.5323,-0.2875,1,0,0,0,435000
26,1,90.88,2006,82.5,2,66.15,0,2010,415,335,405,0.884122512,0.8192,0.1888,-1.7954,1.8249,1.1343,1,0,0,0,345000
27,1,76.8,2009,83,2,76.44,0,2014,535,510,605,0.88162007,0.99,1.3779,0.7785,-0.2344,-0.6692,1,0,0,0,300000
